"skill_id","experience_id","name","skill_level"
"1","1","HTML","7"
"2","1","CSS","7"
"3","1","JavaScript","6"
"4","1","PHP","7"
"5","1","Python","4"
"6","1","Java","6"
"7","1","Database & Data Science Fundamentals","5"
"8","1","Networking (Cisco Packet Tracer)","10"
"9","1","Artificial Intelligence Basics","6"
"10","2","Adobe Illustrator","7"
"11","2","Adobe Photoshop","7"
"12","2","Adobe XD","8"
"13","2","Adobe Premiere Pro","7"
"14",NULL,"Communication","7"
"15",NULL,"Quick Learner","8"
"16",NULL,"Independent","7"
"17",NULL,"Adaptable","9"
"18",NULL,"Leadership","7"
"19",NULL,"Open-minded","8"
"20",NULL,"English","7"
"21",NULL,"Arabic","9"
"22",NULL,"Creative Writing","8"
